cod_municipio,municipio,departamento,total_sismos,magnitud_max,magnitud_promedio,profundidad_promedio,lat_centroide,lon_centroide
001,VALLEDUPAR,CESAR,24,4.5839,2.2985120833333332,11.4592375,9.401583333333333,-73.47025000000001
003,ÁBREGO,NORTE DE SANTANDER,33,4.5901,2.369821757575757,16.6519,7.939303030303031,-73.24472727272727
006,ACHÍ,BOLÍVAR,6,4.5901,3.812398333333333,15.276566666666668,8.616166666666667,-74.392
011,AGUACHICA,CESAR,26,4.5809,1.267774846153846,5.309503846153846,8.240153846153847,-73.6305
013,AGUSTÍN CODAZZI,CESAR,115,4.5901,3.0700322608695654,7.5717739130434785,9.960104347826087,-73.15717391304348
020,ALBANIA,SANTANDER,1,4.5839,4.5839,0.0,5.787,-73.773
030,ALTOS DEL ROSARIO,BOLÍVAR,46,4.5901,2.5169197826086953,17.93461086956522,9.242717391304348,-74.16115217391304
032,ASTREA,CESAR,7,4.5689,0.6527542857142857,26.15625714285714,9.534,-73.895
042,ARENAL,BOLÍVAR,27,4.5901,2.065512592592593,3.426574074074074,8.304444444444444,-74.1752962962963
045,BECERRILL,CESAR,70,4.5901,2.6271226285714286,7.1970671428571436,9.7597,-73.2483857142857
058,ARIGUANÍ (El Difícil),MAGDALENA,16,4.5901,2.858386875,8.59649375,9.9354375,-74.04362499999999
060,BOSCONIA,CESAR,30,4.5901,3.3545366666666667,16.808173333333333,9.965,-73.9022
074,BARRANCO DE LOBA,BOLÍVAR,30,4.5901,2.294127666666667,12.236153333333334,8.782566666666668,-74.1374
079,BARICHARA,SANTANDER,1,0.0001,0.0001,45.924,6.632,-73.251
081,BARRANCABERMEJA,SANTANDER,272,4.5901,1.1482769080882353,4.739023161764706,7.132606617647059,-73.80195955882354
092,BETULIA,SANTANDER,73,4.5901,1.705843315068493,5.031853424657535,7.040506849315069,-73.42508219178082
101,BOLÍVAR,SANTANDER,192,4.5901,2.517000171875,4.303930208333333,6.067843750000001,-74.19558854166667
128,CÁCHIRA,NORTE DE SANTANDER,34,4.5839,2.424957617647059,12.12279705882353,7.6308823529411764,-73.22044117647059
142,CARACOLÍ,ANTIOQUIA,93,4.5992,1.0202977419354837,2.465263440860215,6.301548387096774,-74.72205376344085
148,CAPARRAPÍ,CUNDINAMARCA,2,4.5839,4.5839,22.865,5.4565,-74.5255
160,CANTAGALLO,BOLÍVAR,258,4.5901,1.5967904806201552,12.07544031007752,7.228015503875969,-74.10413953488371
175,CHIMICHAGUA,CESAR,74,4.5902,2.1885668918918917,9.297827027027026,9.116594594594595,-73.66754054054054
176,CHIMA,SANTANDER,5,4.5871,3.68346,9.165000000000001,6.443599999999999,-73.453
178,CHIRIGUANÁ,CESAR,68,4.5901,2.1547423529411764,10.794314705882353,9.445926470588235,-73.5642794117647
179,CHIPATÁ,SANTANDER,1,0.1368,0.1368,0.005,6.074,-73.664
183,CHITA,BOYACÁ,1,0.1466,0.1466,0.0,6.033,-72.411
190,CIMITARRA,SANTANDER,708,4.5903,2.2958343785310733,7.3255854519774015,6.444062146892655,-74.17611723163841
206,CONVENCIÓN,NORTE DE SANTANDER,13,4.5839,2.8292969230769227,14.104146153846155,8.79223076923077,-73.24415384615385
209,CONFINES,SANTANDER,1,4.5779,4.5779,45.785,6.36,-73.257
211,CONTRATACIÓN,SANTANDER,5,4.5809,2.7678979999999997,9.1524,6.3236,-73.5242
228,CURUMANÍ,CESAR,68,4.5901,2.363408632352941,10.792579411764706,9.182264705882353,-73.55567647058824
235,EL CARMEN,SANTANDER,142,4.5901,1.9909139366197184,7.109349295774648,6.6487535211267605,-73.55117605633802
238,EL COPEY,CESAR,9,4.587,3.5585888888888886,20.339344444444446,10.07911111111111,-73.99933333333334
245,EL CARMEN,NORTE DE SANTANDER,180,4.5901,2.0191523888888887,14.771307777777777,8.863949999999999,-73.7216611111111
250,EL PASO,CESAR,82,4.587,2.47985743902439,4.485852439024391,7.770951219512194,-73.80348780487806
255,EL PLAYÓN,SANTANDER,30,4.587,1.850297,6.116533333333333,7.5103333333333335,-73.22243333333334
268,EL PEÑÓN,BOLÍVAR,39,4.5839,1.652556153846154,12.940041025641026,8.917820512820514,-73.93097435897435
271,FLORIÁN,SANTANDER,5,4.5778,1.89142,0.025519999999999998,5.8158,-73.9982
276,FLORIDABLANCA,SANTANDER,1,4.581,4.581,0.002,7.116,-73.069
295,GAMARRA,CESAR,14,4.5778,1.3110228571428573,13.0951,8.409428571428572,-73.69335714285715
296,GALÁN,SANTANDER,8,4.5901,1.7256425,5.7521249999999995,6.68025,-73.353
300,HATILLO DE LOBA,BOLÍVAR,45,4.5901,2.2470673333333333,16.286653333333334,8.99271111111111,-74.0622
307,GIRÓN,SANTANDER,66,4.587,1.8289233030303031,5.558283333333334,7.092560606060606,-73.3499696969697
310,GONZÁLEZ,CESAR,1,0.1328,0.1328,0.045,8.362,-73.369
318,GUAMAL,MAGDALENA,8,4.5901,2.86081875,17.1842,9.129875,-74.171125
324,GUAVATÁ,SANTANDER,1,4.5717,4.5717,0.0352,5.957,-73.736
344,HACARÍ,NORTE DE SANTANDER,12,4.5778,1.5881141666666665,11.480408333333335,6.733666666666667,-73.34925
377,LA BELLEZA,SANTANDER,75,4.5901,2.9461371333333335,2.44784,5.914573333333333,-74.06517333333333
380,LA DORADA,CALDAS,1,4.5809,4.5809,0.0,5.66,-74.701
383,LA GLORIA,CESAR,109,4.5901,2.533079816513762,5.490111926605504,8.667220183486238,-73.59031192660551
385,LA ESPERANZA,NORTE DE SANTANDER,136,4.5901,1.7239293529411763,8.773880147058822,6.960227941176471,-73.59125735294117
397,LA PAZ,SANTANDER,24,4.5871,3.4432529166666668,0.0192625,6.2549166666666665,-73.65304166666667
398,LA PLAYA,NORTE DE SANTANDER,3,4.5778,3.0508966666666666,15.255,8.244,-73.16
400,LA JAGUA DE IBIRICO,CESAR,31,4.587,2.3748290322580643,7.3919999999999995,9.57325806451613,-73.37619354838709
406,LEBRIJA,SANTANDER,50,4.5901,1.69348552,3.67533,7.15694,-73.2873
418,LOS SANTOS,SANTANDER,1,4.5809,4.5809,0.006,6.851,-73.098
425,MACEO,ANTIOQUIA,40,4.5901,2.4292955249999997,11.4676575,6.54865,-74.681275
440,MARGARITA,BOLÍVAR,12,4.5778,1.9047158333333334,15.282475,9.052916666666667,-74.21183333333333
443,MANAURE BALCÓN DEL CESAR,CESAR,1,4.5779,4.5779,0.022,10.423,-73.079
444,MATANZA,SANTANDER,9,4.587,1.52467,10.16031111111111,7.322333333333333,-73.08833333333332
458,MONTECRISTO,BOLÍVAR,59,4.5901,2.791878644067797,7.028145762711865,8.053203389830509,-74.38220338983051
460,NUEVA GRANADA,MAGDALENA,1,4.587,4.587,45.771,9.676,-74.22
473,MORALES,BOLÍVAR,24,4.5901,1.5528229166666667,9.5638625,8.243916666666665,-73.97404166666666
490,NOROSÍ,BOLÍVAR,140,4.587,1.8114417857142857,20.633357142857143,8.459142857142856,-74.16189999999999
498,OCAÑA,NORTE DE SANTANDER,25,4.5962,2.2115332,9.16572,8.232240000000001,-73.33359999999999
507,OTANCHE,BOYACÁ,45,4.587,2.562696422222222,3.0624266666666666,5.8265777777777785,-74.18711111111111
517,PAILITAS,CESAR,106,4.5901,2.6519916603773583,12.542691509433963,8.933858490566038,-73.59143396226415
524,PALMAS DEL SOCORRO,SANTANDER,2,4.5839,4.5824,22.86685,6.397,-73.2495
531,PAUNA,BOYACÁ,1,4.5689,4.5689,0.0,5.816,-74.063
533,PAYA,BOYACÁ,1,0.0,0.0,0.02,5.608,-72.468
545,PIJIÑO  DEL CARMEN,MAGDALENA,8,4.5839,2.8607924999999996,22.907075,9.57675,-74.0315
549,PINILLOS,BOLÍVAR,14,4.5902,2.6153,26.17695,8.601714285714285,-74.25457142857144
550,PELAYA,CESAR,69,4.587,2.275403768115942,11.301015942028984,8.80372463768116,-73.55140579710145
568,PUERTO GAITÁN,META,1,4.5748,4.5748,0.008,3.82,-71.327
570,PUEBLO BELLO,CESAR,6,4.5809,3.8099000000000003,22.9355,10.375833333333333,-73.52666666666666
572,PUERTO SALGAR,CUNDINAMARCA,179,4.5901,2.431333,5.382495530726256,5.960078212290503,-74.34969832402234
573,PUERTO PARRA,SANTANDER,119,4.5902,2.057456932773109,8.092142857142857,6.675865546218487,-74.01253781512605
575,PUERTO WILCHES,SANTANDER,245,4.587,1.6682905551020408,6.5705751020408165,7.515012244897959,-73.79709795918367
579,PUERTO BERRÍO,ANTIOQUIA,168,4.5901,1.9007812916666667,4.6517744047619045,6.502964285714286,-74.51320238095238
580,REGIDOR,BOLÍVAR,3,4.5809,1.5644999999999998,15.268666666666666,8.660333333333334,-73.918
585,PUERTO NARE,ANTIOQUIA,33,4.5809,1.8307929696969696,1.3923333333333334,6.168393939393939,-74.70712121212121
591,PUERTO TRIUNFO,ANTIOQUIA,28,4.5809,1.173557857142857,3.2674999999999996,5.925857142857143,-74.71010714285714
600,RIOVIEJO,BOLÍVAR,83,4.5901,1.774193481927711,13.257660240963856,8.437289156626505,-74.10627710843373
604,REMEDIOS,ANTIOQUIA,147,4.5901,2.151376802721088,9.354301360544218,6.902721088435374,-74.48466666666666
614,RÍO DE ORO,CESAR,14,4.587,1.3350264285714286,13.085928571428571,8.222357142857144,-73.46292857142858
615,RIONEGRO,SANTANDER,197,4.5902,1.641083,5.5926248730964465,7.467807106598984,-73.33802538071066
621,LA PAZ,CESAR,17,4.5809,4.035570588235294,10.791823529411765,10.220588235294118,-73.08705882352942
649,SAN CARLOS,ANTIOQUIA,23,4.5839,2.4192726086956524,11.942739130434783,6.232869565217391,-74.81047826086957
650,SAN FERNANDO,BOLÍVAR,10,4.5717,1.827284,27.53548,9.0975,-74.37100000000001
652,SAN FRANCISCO,ANTIOQUIA,87,4.5901,2.2995972183908044,2.6315011494252873,5.896126436781609,-74.88931034482758
655,SABANA DE TORRES,SANTANDER,95,4.5901,1.8086384947368421,5.32494947368421,7.373105263157895,-73.59814736842105
660,SAN LUIS,ANTIOQUIA,70,4.5901,2.391943857142857,4.577744285714285,6.563871428571429,-74.77621428571429
662,SAMANÁ,CALDAS,1,4.5778,4.5778,0.0325,5.649,-74.998
667,SAN MARTÍN DE LOBA,BOLÍVAR,65,4.5871,2.5500703999999996,12.69609076923077,8.817723076923077,-74.04166153846154
670,SAN PABLO,BOLÍVAR,369,4.5992,1.7236632818428184,11.18159647696477,7.457029810298103,-74.10513821138211
681,SAN PABLO DE BORBUR,BOYACÁ,1,4.5658,4.5658,45.796,5.696,-74.131
688,SANTA ROSA DEL SUR,BOLÍVAR,203,4.5901,1.8194324236453203,12.421634482758622,7.799561576354679,-74.21494581280788
689,SAN VICENTE DE CHUCURÍ,SANTANDER,127,4.5902,1.806043464566929,7.214393700787401,6.8710472440944885,-73.52166141732283
710,SAN ALBERTO,CESAR,24,4.5839,1.3686404166666666,3.8398083333333335,7.8667083333333325,-73.38745833333333
720,SARDINATA,NORTE DE SANTANDER,40,4.587,2.656298,10.3113,6.4826250000000005,-73.552575
736,SEGOVIA,ANTIOQUIA,4,4.5748,3.4288675,11.4745,7.263999999999999,-74.58475
744,SIMITÍ,BOLÍVAR,203,4.5901,1.595601896551724,12.422949261083742,7.800354679802956,-74.04195566502463
745,SIMACOTA,SANTANDER,132,4.5901,1.8924597272727273,11.809211363636365,6.701795454545454,-73.77331818181818
750,SAN DIEGO,CESAR,7,4.584,2.615528571428571,13.095714285714285,10.14257142857143,-73.33414285714285
755,SOCORRO,SANTANDER,1,0.0001,0.0001,45.883,6.426,-73.306
756,SONSÓN,ANTIOQUIA,67,4.5839,1.682660014925373,0.6822567164179104,5.864626865671642,-74.82285074626866
770,SAN MARTÍN,CESAR,69,4.5839,0.7851744492753623,2.0175521739130438,7.9515507246376815,-73.57840579710145
773,SUCRE,SANTANDER,109,4.5901,2.958290293577982,1.271302752293578,5.99897247706422,-73.97777064220183
780,SURATÁ,SANTANDER,1,4.5689,4.5689,0.0,7.45,-72.968
787,TAMALAMEQUE,CESAR,38,4.5901,1.9310197368421052,9.653536842105263,8.948815789473684,-73.74168421052632
800,TEORAMA,NORTE DE SANTANDER,4,4.5809,3.431875,22.880499999999998,8.76875,-73.14175
808,TINJACÁ,BOYACÁ,1,0.1451,0.1451,0.008,5.572,-73.641
810,TIQUISIO (Puerto Rico),BOLÍVAR,103,4.5902,2.181258640776699,17.805209708737863,8.529058252427184,-74.24050485436894
858,VEGACHÍ,ANTIOQUIA,25,4.5901,3.66607132,7.328392,6.847799999999999,-74.63264
861,VÉLEZ,SANTANDER,37,4.587,1.888028108108108,2.4906351351351352,6.38827027027027,-73.72118918918919
871,VILLA CARO,NORTE DE SANTANDER,4,4.5901,3.435745,22.85425,7.91575,-73.01650000000001
885,YALÍ,ANTIOQUIA,20,4.5901,2.10663415,9.164745,6.33705,-74.54075
890,YOLOMBÓ,ANTIOQUIA,26,4.5839,1.972197923076923,8.797153846153845,6.672615384615384,-74.58823076923078
893,YONDÓ (Casabe),ANTIOQUIA,326,4.5901,1.5797872423312882,6.33137055214724,6.975039877300613,-74.11911042944784
895,ZAPATOCA,SANTANDER,22,4.587,1.494824090909091,10.419218181818183,6.8935,-73.33731818181819
